id,Residential,Workplace,Transit,Park,Grocery,Retail,School closing,Workplace closing,Concel public events,Restrictions on gathering size,Closing public transport,Stay at home requirement,Restrictions on internal movements,International travel controls
130,-11.9032258,19.9032258,26.7741935,28.2903226,5.9677419,36.5806452,100,33.33333333,79.03225806,75,50,33.33333333,50,100
131,-11.2,16.4666667,21.3666667,29.1666667,3.2,31.8333333,91.66666667,33.33333333,50,75,50,33.33333333,50,100
132,-8.6129032,14.7419355,14.7741935,16.7419355,-10.3548387,23.5483871,50,33.33333333,50,75,50,33.33333333,50,100
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,1.2666667,-14.7333333,-0.3333333,1.1333333,-2.9333333,2.3333333,0,0,0,0,0,0,0,0
135,-9.1935484,8.8709677,28.4193548,29.5806452,11,28.0322581,59.13978495,47.31182796,70.96774194,0,26.61290323,0,48.38709677,48.38709677
136,-22.5333333,46.3333333,61.8,61.4333333,36.2333333,58.8666667,100,86.66666667,100,6.666666667,64.16666667,33.33333333,100,100
137,-17,32,48.0967742,49.8064516,23.9677419,44,100,66.66666667,100,50,0,33.33333333,100,100
138,-16.3666667,28.0333333,48.7666667,49.8,23.8,40.9333333,100,66.66666667,100,52.08333333,0,33.33333333,100,100
139,-20.5483871,39.483871,58.483871,57.7096774,31.7096774,54.2580645,100,66.66666667,100,62.5,0,33.33333333,100,100
140,-16.5806452,32.516129,51.8064516,50.4193548,26.0967742,43.7096774,100,56.98924731,100,75,0,33.33333333,87.09677419,66.93548387
